Row Labels,Sum of ColonyCount,Sum of YieldPerColony
AR,759000,1545
1995,50000,60
1996,40000,84
1997,50000,95
1998,53000,65
1999,52000,89
2000,52000,93
2001,50000,98
2002,45000,88
2003,40000,75
2004,40000,57
2005,36000,69
2006,32000,76
2007,28000,80
2008,28000,75
2009,24000,57
2010,25000,60
2011,22000,64
2012,25000,63
2013,22000,60
2014,21000,65
2015,24000,72
Grand Total,759000,1545
